"filename", "language", "JSON", "JSON with Comments", "Markdown", "TypeScript", "JavaScript", "graphql", "comment", "blank", "total"
"c:\Users\Miro\Desktop\prjv0\backend\.prettierrc", "JSON", 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Miro\Desktop\prjv0\backend\README.md", "Markdown", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Miro\Desktop\prjv0\backend\jest.config.js", "JavaScript", 0, 0, 0, 0, 5, 0, 1, 1, 7
"c:\Users\Miro\Desktop\prjv0\backend\package-lock.json", "JSON", 18814, 0, 0, 0, 0, 0, 0, 1, 18815
"c:\Users\Miro\Desktop\prjv0\backend\package.json", "JSON", 73, 0, 0, 0, 0, 0, 0, 1, 74
"c:\Users\Miro\Desktop\prjv0\backend\src\api\models\companyModel.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 3, 24
"c:\Users\Miro\Desktop\prjv0\backend\src\api\models\hourReportModel.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 3, 31
"c:\Users\Miro\Desktop\prjv0\backend\src\api\models\inventoryModel.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 3, 20
"c:\Users\Miro\Desktop\prjv0\backend\src\api\models\itemModel.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 3, 21
"c:\Users\Miro\Desktop\prjv0\backend\src\api\models\projectModel.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 3, 29
"c:\Users\Miro\Desktop\prjv0\backend\src\api\models\textReportModel.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 0, 3, 32
"c:\Users\Miro\Desktop\prjv0\backend\src\api\resolvers\companyResolver.ts", "TypeScript", 0, 0, 0, 178, 0, 0, 21, 9, 208
"c:\Users\Miro\Desktop\prjv0\backend\src\api\resolvers\hourReportResolver.ts", "TypeScript", 0, 0, 0, 71, 0, 0, 0, 3, 74
"c:\Users\Miro\Desktop\prjv0\backend\src\api\resolvers\index.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 2, 18
"c:\Users\Miro\Desktop\prjv0\backend\src\api\resolvers\inventoryResolver.ts", "TypeScript", 0, 0, 0, 88, 0, 0, 0, 11, 99
"c:\Users\Miro\Desktop\prjv0\backend\src\api\resolvers\itemResolver.ts", "TypeScript", 0, 0, 0, 100, 0, 0, 1, 6, 107
"c:\Users\Miro\Desktop\prjv0\backend\src\api\resolvers\projectResolver.ts", "TypeScript", 0, 0, 0, 161, 0, 0, 10, 9, 180
"c:\Users\Miro\Desktop\prjv0\backend\src\api\resolvers\textReportResolver.ts", "TypeScript", 0, 0, 0, 57, 0, 0, 0, 3, 60
"c:\Users\Miro\Desktop\prjv0\backend\src\api\resolvers\userResolver.ts", "TypeScript", 0, 0, 0, 231, 0, 0, 0, 4, 235
"c:\Users\Miro\Desktop\prjv0\backend\src\api\schemas\company.graphql", "graphql", 0, 0, 0, 0, 0, 17, 0, 2, 19
"c:\Users\Miro\Desktop\prjv0\backend\src\api\schemas\hourreport.graphql", "graphql", 0, 0, 0, 0, 0, 19, 0, 4, 23
"c:\Users\Miro\Desktop\prjv0\backend\src\api\schemas\index.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 3, 9
"c:\Users\Miro\Desktop\prjv0\backend\src\api\schemas\inventory.graphql", "graphql", 0, 0, 0, 0, 0, 15, 0, 2, 17
"c:\Users\Miro\Desktop\prjv0\backend\src\api\schemas\item.graphql", "graphql", 0, 0, 0, 0, 0, 17, 0, 4, 21
"c:\Users\Miro\Desktop\prjv0\backend\src\api\schemas\project.graphql", "graphql", 0, 0, 0, 0, 0, 19, 0, 2, 21
"c:\Users\Miro\Desktop\prjv0\backend\src\api\schemas\textreport.graphql", "graphql", 0, 0, 0, 0, 0, 27, 0, 4, 31
"c:\Users\Miro\Desktop\prjv0\backend\src\api\schemas\user.graphql", "graphql", 0, 0, 0, 0, 0, 36, 0, 7, 43
"c:\Users\Miro\Desktop\prjv0\backend\src\app.ts", "TypeScript", 0, 0, 0, 77, 0, 0, 0, 9, 86
"c:\Users\Miro\Desktop\prjv0\backend\src\index.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 2, 15
"c:\Users\Miro\Desktop\prjv0\backend\src\interfaces\User.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 4, 25
"c:\Users\Miro\Desktop\prjv0\backend\src\interfaces\interfaces.ts", "TypeScript", 0, 0, 0, 98, 0, 0, 0, 19, 117
"c:\Users\Miro\Desktop\prjv0\backend\src\middlewares.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 4, 23
"c:\Users\Miro\Desktop\prjv0\backend\src\utils\CustomError.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\Miro\Desktop\prjv0\backend\src\utils\auth.function.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 8, 32
"c:\Users\Miro\Desktop\prjv0\backend\src\utils\databaseConnection.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\Miro\Desktop\prjv0\backend\test\companyFunctions.ts", "TypeScript", 0, 0, 0, 48, 0, 0, 2, 3, 53
"c:\Users\Miro\Desktop\prjv0\backend\test\hourReportFunctions.ts", "TypeScript", 0, 0, 0, 58, 0, 0, 2, 3, 63
"c:\Users\Miro\Desktop\prjv0\backend\test\inventoryFunctions.ts", "TypeScript", 0, 0, 0, 130, 0, 0, 2, 5, 137
"c:\Users\Miro\Desktop\prjv0\backend\test\projectFunctions.ts", "TypeScript", 0, 0, 0, 61, 0, 0, 2, 3, 66
"c:\Users\Miro\Desktop\prjv0\backend\test\test.ts", "TypeScript", 0, 0, 0, 128, 0, 0, 19, 28, 175
"c:\Users\Miro\Desktop\prjv0\backend\test\textReportFunctions.ts", "TypeScript", 0, 0, 0, 56, 0, 0, 2, 3, 61
"c:\Users\Miro\Desktop\prjv0\backend\test\userFunctions.ts", "TypeScript", 0, 0, 0, 193, 0, 0, 2, 7, 202
"c:\Users\Miro\Desktop\prjv0\backend\tsconfig.json", "JSON with Comments", 0, 14, 0, 0, 0, 0, 0, 1, 15
"Total", "-", 18894, 14, 1, 1990, 5, 150, 64, 201, 21319